Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,21210.591797,21693.798828,21207.398438,21680.203125,21680.203125,25336708782
2023-02-08,21679.386719,21783.050781,21200.021484,21407.873047,21407.873047,23677473761
2023-02-09,21414.560547,21459.908203,20272.855469,20316.777344,20316.777344,30329918018
2023-02-10,20316.746094,20457.697266,20174.656250,20256.523438,20256.523438,25334151033
2023-02-11,20257.138672,20481.275391,20225.896484,20462.062500,20462.062500,15302639919
2023-02-12,20462.087891,20617.125000,20302.173828,20405.873047,20405.873047,16690407937
2023-02-13,20404.744141,20494.046875,20022.113281,20322.708984,20322.708984,22289589211
2023-02-14,20316.857422,20710.349609,20187.177734,20698.390625,20698.390625,24956955411
2023-02-15,20698.185547,22735.562500,20591.498047,22735.562500,22735.562500,30382227264
2023-02-16,22735.101563,23541.443359,22128.710938,22149.275391,22149.275391,36863147459
2023-02-17,22147.220703,23301.111328,22003.044922,22923.218750,22923.218750,38593349279
2023-02-18,22922.933594,23140.810547,22832.443359,22993.785156,22993.785156,18313290723
2023-02-19,22992.619141,23415.359375,22770.064453,22770.064453,22770.064453,23918940029
2023-02-20,22778.470703,23408.191406,22409.277344,23243.062500,23243.062500,27135662957
2023-02-21,23246.712891,23534.990234,22724.408203,22941.826172,22941.826172,29340720356
2023-02-22,22942.826172,22972.332031,22263.158203,22807.732422,22807.732422,28475667565
2023-02-23,22809.501953,23132.164063,22337.939453,22597.166016,22597.166016,28757798964
2023-02-24,22595.763672,22725.429688,21807.943359,21916.640625,21916.640625,25330637326
2023-02-25,21918.527344,21926.546875,21623.605469,21920.429688,21920.429688,15228867492
2023-02-26,21919.269531,22421.406250,21834.210938,22325.521484,22325.521484,15771595568
2023-02-27,22325.746094,22517.220703,21880.150391,22171.482422,22171.482422,21358902631
2023-02-28,22170.509766,22221.937500,21816.548828,21885.335938,21885.335938,19415754884
2023-03-01,21888.718750,22427.162109,21846.828125,22164.501953,22164.501953,23117097627
2023-03-02,22164.943359,22244.996094,21932.421875,22150.041016,22150.041016,19235382456
2023-03-03,22151.142578,22156.498047,20890.906250,21014.589844,21014.589844,24491284673
2023-03-04,21014.818359,21054.525391,20860.759766,21005.822266,21005.822266,10492892157
2023-03-05,21006.568359,21250.464844,20962.402344,21114.173828,21114.173828,12532696916
2023-03-06,21115.400391,21145.718750,20982.525391,20988.779297,20988.779297,16238354371
2023-03-07,20987.437500,21080.257813,20865.443359,21064.697266,21064.697266,21582012937
2023-03-08,21061.542969,21122.982422,20579.210938,20587.609375,20587.609375,21363501847
2023-03-09,20589.505859,20665.291016,19103.751953,19235.703125,19235.703125,28683645998
2023-03-10,20589.505859,20665.945313,19103.751953,19235.703125,19235.703125,28683645998
2023-03-11,19239.464844,19235.544922,18531.486328,18943.587891,18943.587891,37139999552
2023-03-12,18944.183594,19511.582031,18832.310547,19379.527344,19379.527344,28347620356
2023-03-13,19375.412109,20769.537109,19207.072266,20749.800781,20749.800781,27410915939
2023-03-14,20742.740234,22875.218750,20541.517578,22565.941406,22565.941406,46130944785
2023-03-15,22569.888672,24711.398438,22474.365234,23069.601563,23069.601563,50921737937
2023-03-16,23092.769531,23923.964844,22718.160156,23035.966797,23035.966797,41255860230
2023-03-17,23033.599609,23726.843750,22874.439453,23604.212891,23604.212891,31907892190
2023-03-18,23606.410156,25844.054688,23514.158203,25505.626953,25505.626953,47181679555
2023-03-19,25528.121094,25752.558594,24719.275391,25025.171875,25025.171875,33152085580
2023-03-20,25028.535156,26626.992188,24971.195313,26251.658203,26251.658203,35362250805
2023-03-21,26254.398438,26762.228516,25536.767578,25905.304688,25905.304688,41771705239
2023-03-22,25906.382813,26409.886719,25616.035156,26153.638672,26153.638672,33511138451
2023-03-23,26137.769531,26538.818359,24628.964844,25124.207031,25124.207031,30713129240
2023-03-24,25119.166016,26349.546875,24972.431641,26151.009766,26151.009766,22354394596
2023-03-25,26141.908203,26205.140625,25123.587891,25512.394531,25512.394531,24108429555
2023-03-26,25506.875000,25789.423828,25236.746094,25513.712891,25513.712891,12418760406
2023-03-27,25514.470703,26134.214844,25467.630859,25974.146484,25974.146484,12876844991
2023-03-28,25973.904297,26039.523438,24684.330078,25114.818359,25114.818359,16831712575
2023-03-29,25108.341797,25314.554688,24660.628906,25156.841797,25156.841797,16406669558
2023-03-30,25155.828125,26415.523438,25131.771484,26145.060547,26145.060547,19077208485
2023-03-31,26146.626953,26917.972656,25434.826172,25708.375000,25708.375000,20574494720
2023-04-01,25707.181641,26311.759766,25343.117188,26205.189453,26205.189453,17484546622
2023-04-02,26200.447266,26503.300781,26038.351563,26143.123047,26143.123047,10008255691
2023-04-03,26190.798828,26242.431641,25746.605469,26103.367188,26103.367188,11371573698
2023-04-04,26088.345703,26207.369141,25016.271484,25479.769531,25479.769531,17930593363
2023-04-05,25484.402344,26048.492188,25385.251953,25706.507813,25706.507813,13948838292
2023-04-06,25708.001953,26218.404297,25511.515625,25843.804688,25843.804688,15639753287
2023-04-07,25841.275391,25844.171875,25433.695313,25681.841797,25681.841797,12672181507
2023-04-08,25677.105469,25754.294922,25462.474609,25395.777344,25395.777344,9877612244
2023-04-09,25390.914063,25608.580078,25357.152344,25419.804688,25419.804688,8525407098
2023-04-10,25423.964844,26157.871094,25311.283203,25962.480469,25962.480469,11156638030
2023-04-11,25965.208984,27400.613281,26009.789063,27280.267578,27280.267578,17739499568
2023-04-12,27280.910156,27958.433594,27230.933594,27697.037109,27697.037109,18432220928
2023-04-13,27693.851563,27901.013672,27085.972656,27405.621094,27405.621094,16960311794
2023-04-14,27181.646484,27634.345703,27183.599609,27505.623047,27505.623047,15823204741
2023-04-15,27515.119141,28022.125000,27368.644531,27455.939453,27455.939453,20407976788
2023-04-16,27460.486328,27560.447266,27242.406250,27307.808594,27307.808594,10754951438
2023-04-17,27305.539063,27807.097656,27163.099609,27598.189453,27598.189453,11702639221
2023-04-18,27599.820313,27601.687500,26813.019531,26952.845703,26952.845703,16359502747
2023-04-19,26956.550781,27892.605469,26681.847656,27696.791016,27696.791016,17749723411
2023-04-20,27693.724609,27706.902344,26179.287109,26317.671875,26317.671875,22436026098
2023-04-21,26318.587891,26506.744141,25589.492188,25753.052734,25753.052734,19456902835
2023-04-22,25756.009766,25848.962891,24491.833984,24581.541016,24581.541016,18708153910
2023-04-23,24571.615234,25117.957031,24484.810547,25068.714844,25068.714844,11828715138
2023-04-24,25067.492188,25071.187500,24692.751953,25101.648438,25101.648438,11631739252
2023-04-25,25101.962891,25459.154297,24538.480469,24893.007813,24893.007813,16010269757
2023-04-26,24883.542969,25848.435547,24663.636719,25785.673828,25785.673828,16153506926
2023-04-27,25778.806641,27323.029297,24760.714844,25732.861328,25732.861328,28839652117
2023-04-28,25738.080078,27095.583984,25714.923828,26717.722656,26717.722656,24614353536
2023-04-29,26724.273438,26800.431641,26304.998047,26368.093750,26368.093750,15767210594
2023-04-30,26364.773438,26468.921875,26140.667969,26284.855469,26284.855469,9582232246
